股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,关注者
SH603667,五洲新春,9.65,3.65,3.18,3.4,39.848,1.762,2820969957,4426
SZ002164,宁波东力,5.99,3.63,58.05,5.49,2.972,0,3187720397,12781
SH600337,美克家居,5.15,3.62,16.25,0.84,68.845,0,9098879590,13491
SZ300718,长盛轴承,21.69,3.53,6.02,30.33,33.208,1.014,4294620000,5085
SH600731,湖南海利,11.17,3.52,54.71,5.63,18.527,0,3967837537,8335
SH603648,畅联股份,9.58,3.46,-2.12,3.29,30.275,1.879,3531826986,9511
SH605003,众望布艺,32.92,3.46,27.84,19.22,20.406,None,2896960000,1657
SZ300034,钢研高纳,23.73,3.44,49.57,1.99,70.429,0.505,11149806656,28165
SH600638,新黄浦,6.94,3.43,-1.14,0.78,None,0,4673373695,56588
SH600608,ST沪科,4.53,3.42,-0.22,1.08,308.835,0,1489742328,7808
SZ300407,凯发电气,9.97,3.42,27.24,6.51,54.38,0.247,3041652206,12761
SH601611,中国核建,7.87,3.42,11.26,1.04,17.386,0.712,20859154836,24639
SZ300469,信息发展,14.35,3.39,-10.65,9.37,None,0,2943692646,26953
SZ300585,奥联电子,17.98,3.39,6.64,5.37,123.425,0,2876800000,6191
SH603956,威派格,19.9,3.38,21.03,7.85,64.229,0.754,8476605990,5281
SZ300057,万顺新材,7.06,3.37,18.12,11.88,38.813,0.707,4762129662,18728
SZ002577,雷柏科技,14.14,3.36,10.04,2.66,None,0,3999923200,24615
SZ300710,万隆光电,34.1,3.33,17.25,8.81,None,0.117,2339737400,3553
SZ300668,杰恩设计,20.4,3.29,22.08,16.38,37.387,1.138,2150160000,5107
SZ002354,*ST天娱,3.8,3.26,32.87,1.76,None,0,3542143020,22479
SZ000001,平安银行,18.13,3.25,12.1,0.88,13.044,1.202,351829296930,465562
SH600754,锦江酒店,43.61,3.24,55.06,0.97,51.57,1.376,41775608148,47756
SZ300490,华自科技,10.89,3.22,-1.34,6.67,73.976,0.282,2789708136,71896
SH601717,郑煤机,11.11,3.16,76.95,3.31,13.323,1.665,19247756921,18761
SZ002245,澳洋顺昌,6.6,3.13,61.98,3.66,39.49,0.227,6476685481,23811
SZ300889,爱克股份,47.67,3.09,70.43,27.64,63.484,None,7436520000,1344
SH600660,福耀玻璃,31.6,3.07,35.63,1.43,33.635,2.373,79272314011,370276
SZ002306,ST云网,2.69,3.07,6.75,0.31,None,0,2259600000,66492
SZ002908,德生科技,13.57,3.04,6.89,3.59,34.983,1.106,2724783645,10318
SZ000039,中集集团,10.87,3.03,12.51,1.86,57.501,1.101,39077797723,131505
SH600702,ST舍得,41.97,3.02,39.85,4.6,28.992,0.477,14109436827,62359
SZ000525,红太阳,7.58,2.99,-22.02,1.97,None,0,4402258377,17963
SH600856,*ST中天,1.38,2.99,-45.02,0.5,None,0,1885983043,12616
SH603466,风语筑,20.34,2.99,37.25,1.98,22.109,0,5930135136,14351
SH688166,博瑞医药,57.09,2.99,79.99,2.8,138.465,None,23406900000,6830
SZ300438,鹏辉能源,20.6,2.95,15.3,11.32,84.14,0,8642469513,26391
SZ300239,东宝生物,7.03,2.93,40.4,6.64,148.6,0.428,3668325059,8528
SZ300278,华昌达,7.09,2.9,65.27,11.06,None,0,4234030391,14344
SZ300414,中光防雷,16.65,2.9,37.77,8.54,96.616,0.27,5406812209,12653
SZ002251,步步高,11.73,2.89,30.02,0.83,106.341,0.853,10133593345,29588
SH600600,青岛啤酒,80.97,2.88,59.97,1.41,53.192,0.673,110457880911,109030
SZ300094,国联水产,5.06,2.85,19.06,4.23,None,0,4652967604,17568
SZ002202,金风科技,11.18,2.85,-5.18,3.18,20.536,1.431,47236256293,128734
SZ300893,松原股份,60.6,2.85,349.89,42.44,71.565,None,6060000000,3022
SH600895,张江高科,20.1,2.81,32.06,1.89,25.461,0.597,31128659955,130072
SH600199,金种子酒,6.98,2.8,12.04,5.24,None,0,4591421832,28849
SZ300546,雄帝科技,25.77,2.79,-10.35,4.94,48.555,0.47,3520478355,7736
SZ002876,三利谱,46.07,2.77,-5.49,3.18,72.976,0.09,5749536000,12295
SZ002418,*ST康盛,1.88,2.73,-34.27,1.49,None,0,2136432000,33330
SH600448,华纺股份,4.56,2.7,1.15,8.23,180.384,0,2871977659,18142
SZ300648,星云股份,34.05,2.68,114.3,4.68,130.601,0.029,4610370000,8187
SZ300265,通光线缆,13.09,2.67,70.25,4.36,147.335,0.111,4777005080,28592
SZ300327,中颖电子,34.06,2.65,47.37,3.68,45.395,1.281,9517738934,68892
SZ002833,弘亚数控,47.13,2.64,92.47,2.4,35.84,0.796,10200952934,14827
SH603039,泛微网络,92.4,2.63,121.49,0.31,139.269,0.116,19615791980,14028
SZ002461,珠江啤酒,10.23,2.61,44.97,1.01,41.293,0.978,22642350350,30990
SH601838,成都银行,11.44,2.6,31.94,3.45,7.126,3.671,41324155261,25321
SZ300048,合康新能,5.6,2.56,132.37,4.37,None,0,6204701199,16769
SZ002646,青青稞酒,10.46,2.55,-2.08,1.57,None,0.287,4707000000,21504
SH600256,广汇能源,3.23,2.54,-2.42,0.66,15.033,0,21943298833,106427
SH605136,丽人丽妆,51.51,2.51,321.18,73.99,72.29,None,20604515100,4145
SH600019,宝钢股份,5.33,2.5,-1.52,0.49,11.769,5.253,118705965706,205622
SZ300076,GQY视讯,6.62,2.48,13.36,7.94,430.779,0,2806880000,15555
SZ002735,王子新材,39.31,2.48,115.4,1.7,99.624,0,5997801477,9979
SZ000913,钱江摩托,26.15,2.47,147.32,1.91,44.876,1.683,11859966400,27380
SZ300096,易联众,12.91,2.46,33.04,17.62,None,0.039,5551300000,25005
SZ000929,兰州黄河,7.98,2.44,14.99,3.45,None,0,1482412680,14123
SZ002534,杭锅股份,9.68,2.43,32.06,0.78,16.959,4.132,7155466164,9404
SZ300812,易天股份,52.18,2.43,145.46,11.52,53.133,0.958,4044559619,3235
SH603569,长久物流,10.99,2.42,13.09,0.92,60.761,6.36,6157437295,5661
SZ002781,奇信股份,19.97,2.41,23.14,0.8,None,0.195,4493250000,85096
