股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
300388,国祯环保,9.74,-1.42,-6.3,0.72,20.676,1.198,6737673772.0,8.766,13.7808
603339,四方科技,9.7,-1.42,7.32,0.37,22.366,1.31,3001579398.0,7.3457,12.69
600323,瀚蓝环境,25.05,-1.42,44.2,0.54,21.031,0.878,19194913651.0,16.3217,31.1
600137,浪莎股份,15.99,-1.42,3.29,0.4,98.121,0.625,1554509232.0,11.8144,20.35
300231,银信科技,11.03,-1.43,34.57,5.91,32.295,1.36,3969020872.0,7.0089,12.24
600714,金瑞矿业,5.53,-1.43,-4.82,0.32,-153.606,0.0,1593614790.0,4.49,6.98
603365,水星家纺,14.43,-1.43,-0.73,0.81,13.932,5.544,1278267120.0,12.1454,17.8
002193,如意集团,6.87,-1.43,-12.6,0.64,139.381,0.0,1792593998.0,6.09,8.71
002658,雪迪龙,6.19,-1.43,-12.97,0.35,38.868,1.712,1895707370.0,5.5015,8.046
002615,哈尔斯,5.52,-1.43,1.58,1.85,-76.523,1.449,1243673289.0,4.1077,6.83
002540,亚太科技,4.83,-1.43,15.51,0.28,17.426,4.969,4323733228.0,3.671,5.96
002842,翔鹭钨业,9.63,-1.43,-24.49,0.61,62.499,0.521,2253498061.0,8.5953,13.5694
600292,远达环保,5.5,-1.43,-2.11,0.3,41.799,0.909,4294492895.0,4.4887,6.24
603390,通达电气,12.38,-1.43,-33.45,2.31,54.944,0.808,1088471884.0,11.763,24.1016
600886,国投电力,8.99,-1.43,0.67,0.08,11.246,2.664,62476214890.0,7.1304,9.62
002695,煌上煌,22.0,-1.43,34.75,1.04,46.599,0.455,10147902446.0,12.9418,33.28
600242,*ST中昌,2.75,-1.43,-65.06,1.31,-0.776,0.0,1241059999.0,2.59,11.38
603948,建业股份,21.29,-1.44,51.08,1.64,26.012,1.174,851600000.0,16.9106,39.1614
601099,太平洋,4.11,-1.44,8.44,1.69,177.412,0.0,28015060281.0,2.88,5.07
300042,朗科科技,18.52,-1.44,16.59,1.84,42.782,0.108,3108007491.0,12.6374,23.19
300478,杭州高新,13.61,-1.45,14.66,2.53,-5.4,0.0,1649333335.0,9.21,16.8
603657,春光科技,21.14,-1.45,22.5,3.13,25.876,1.689,847185500.0,14.4068,21.68
002361,神剑股份,4.75,-1.45,11.04,0.98,38.471,2.105,2980028395.0,3.6218,6.6
600507,方大特钢,5.44,-1.45,-19.43,0.59,7.939,0.0,11728369213.0,4.96,7.0067
002309,中利集团,6.1,-1.45,-0.81,0.79,-24.317,0.0,4259487040.0,5.0,8.25
000917,电广传媒,5.43,-1.45,-19.27,0.47,-46.013,0.276,7032940284.0,5.249,8.1529
000839,中信国安,2.71,-1.45,-23.45,0.65,-33.561,0.0,10622729414.0,2.26,4.2
002037,保利联合,6.82,-1.45,-0.13,0.45,41.516,0.88,2232650851.0,5.6993,8.88
000803,*ST北能,14.95,-1.45,7.48,0.16,-22.316,0.0,1909576850.0,10.63,19.59
002393,力生制药,25.15,-1.45,-6.96,0.34,29.444,1.193,4588743049.0,22.8289,29.99
002185,华天科技,14.23,-1.45,90.7,1.22,83.284,0.105,38978659015.0,5.0544,20.8
603203,快克股份,29.88,-1.45,8.69,0.76,26.249,0.707,4677229556.0,19.5812,33.94
