股票代码,股票名称,近3年,近5年,近10年,所有时间,当前市盈率(TTM),历史平均,历史最高,历史最低
SZ002694,顾地科技,51,31.5,48.3,48.3,77.07,399.67,9430.25,18.05
SH600926,杭州银行,99.1,95,95,95,11.41,8.48,13.92,6.09
SH600138,中青旅,1,1,1,1,71.53,37.14,317.97,11.78
SZ002827,高争民爆,88.7,89.3,89.3,89.3,133.39,83.67,366.81,23.46
SZ000555,神州信息,53.6,32.8,27.6,19.5,43.86,479.84,6955.15,18.41
SH603811,诚意药业,60.5,60.5,60.5,60.5,26.23,26.28,42,19.16
SZ000035,中国天楹,1.1,0.7,12.6,12.5,14.31,56.11,774.5,1.34
SZ002596,海南瑞泽,1,1,1,1,15.18,151.39,1622.92,22.68
SH600307,酒钢宏兴,73.9,64.5,59.5,67.2,25.22,33.13,966.7,4.06
SH603517,绝味食品,90.2,90.2,90.2,90.2,68.12,38.28,83.95,20.91
SZ200026,飞亚达B,0.4,0.3,0.1,18.2,9.52,24.76,277.28,1.34
SZ002501,*ST利源,1,1,1,1,0.21,24.53,56.69,8.54
SH601228,广州港,14.7,14.7,14.7,14.7,23.5,31.43,49.07,21.56
SH601288,农业银行,21.5,21.4,27.6,27.6,5.61,5.98,10.2,4.4
SH601369,陕鼓动力,19.1,12.6,27.7,27.7,18.11,26.8,62.51,10.41
SZ002454,松芝股份,84.9,89.2,90.4,90.4,28.67,19.64,43,7.6
SZ300500,启迪设计,21.8,19.2,19.2,19.2,16.36,34.97,96.86,14.98
SH600491,龙元建设,32.7,21.9,21.2,18.8,12.16,24.82,82.45,7.84
SH603500,祥和实业,92.2,92.2,92.2,92.2,48.98,31.25,87.87,19.11
SH600881,亚泰集团,59.2,40.5,67.1,83.9,76.38,46.58,290.06,10.94
SH600048,保利地产,9.3,5.5,13.9,10.4,6.83,16.45,147.21,4.68
SH600870,ST厦华,1,1,1,1,1615.54,188.73,1525.14,16.55
SH600563,法拉电子,99.2,99.5,99.7,97.6,42.86,25.64,51.24,9.69
SZ002399,海普瑞,24.2,16.1,23,23,26.9,54.83,176.01,21.68
SH601009,南京银行,61.2,40.7,37.7,30.5,6.25,9.46,33.42,4.83
SZ000806,*ST银河,1,1,1,1,1.87,550.1,8130.31,9.82
SH600688,上海石化,1,1,1,1,358.16,50.07,1681.55,3.64
SZ002419,天虹股份,88.2,90.7,85.6,85.6,25.43,18.46,39.35,7.54
SZ300525,博思软件,78.2,73.9,73.9,73.9,93.72,82.35,161.8,48.16
SZ300652,雷迪克,99,99,99,99,41.75,25.95,45.32,18.96
SH600466,蓝光发展,1.9,1.3,0.8,0.5,4.33,76.52,1366.26,4.21
SZ002250,联化科技,73.7,83.2,91.2,92.4,304.17,100.19,1972.26,16.77
SZ002453,华软科技,1,1,1,1,8.58,135.59,561.44,23.01
SZ002042,华孚时尚,1,1,1,1,79.34,67.21,1690.5,8.53
SH600090,*ST济堂,1,1,1,1,8.74,105.17,1855.35,9.34
SH600555,*ST海创,1,1,1,1,9.93,230.65,6549.59,14.66
SH601567,三星医疗,27.5,18,11.6,11.6,10.33,19.09,73.14,8.81
SZ002315,焦点科技,91.9,83.9,87.2,83.9,72.23,51.34,150.64,20.89
SH603055,台华新材,92.3,92.3,92.3,92.3,59.31,25.69,75.03,12.91
SZ300353,东土科技,1,1,1,1,9.27,107.9,474.53,21.86
SH600871,石化油服,5.5,4.7,21.6,31.8,48.06,244.26,3084.75,16.62
SH600648,外高桥,81.3,70,59.5,32.7,33.49,154.39,2282.71,13.96
SH601166,兴业银行,58.9,54.7,55.3,45.1,5.95,7.15,23.88,3.97
SH603007,花王股份,98.3,98,98,98,80.8,36.26,90.3,14.09
SH600372,中航电子,21.6,14.7,9.1,13.4,44.53,81.07,535.67,30.01
SZ300153,科泰电源,94.5,96.8,98.4,98.4,310.01,119.73,593.09,27.26
SH601928,凤凰传媒,20.5,13.5,9.2,9.2,13.52,21.17,53.41,11.68
SH900910,海立B股,91.5,62.7,50.8,65.3,18.13,20.03,139.35,0.25
SZ000778,新兴铸管,52.6,35.2,29.5,22.4,9.56,18.31,75.29,5.36
SH600820,隧道股份,16.5,11.2,9.9,4.6,8.98,25.66,72.59,7.38
SZ002496,*ST辉丰,1,1,1,1,28.33,34.95,74.74,8.11
SZ300396,迪瑞医疗,62.8,40.4,38.3,38.3,26.83,36.22,81.75,17.25
SZ002749,国光股份,64.9,46.8,46.8,46.8,24.98,27.64,55.18,15.7
SZ002729,好利来,98.1,72.2,73.1,73.1,176.58,147.18,277.1,57.54
SH601018,宁波港,53.4,35.4,53.2,53.2,18.74,20.42,57.55,9.95
SZ300654,世纪天鸿,20.3,20.3,20.3,20.3,52.79,62.79,123.75,49.03
SH600000,浦发银行,5.7,3.4,19.3,9.7,4.98,16.82,67.17,3.89
SZ300434,金石亚药,82.3,58.6,58.6,58.6,50.34,92.78,308.28,18.46
SH600104,上汽集团,99.8,99.9,99.9,61.7,15.09,59.74,3011.58,5.47
SZ000927,*ST夏利,1,1,1,1,13.96,202.54,5156.19,13.58
SZ000009,中国宝安,56.3,55.3,56.5,44.7,33.5,150.64,2290.19,11.22
SZ002206,海利得,87.6,58.7,40.2,35.3,20.48,26.04,62.87,12.11
SH603598,引力传媒,1,1,1,1,19.21,98.69,281.05,22.72
SZ002678,珠江钢琴,92.3,70.8,71.1,71.1,80.45,68.56,195.65,29.55
SH600725,ST云维,10.5,23.3,43.7,69.3,126.46,106.38,691.22,1.15
SZ002966,苏州银行,2.8,2.8,2.8,2.8,9.89,11.07,13.25,9.74
SZ000502,绿景控股,1,1,1,1,97.82,166.67,1364.48,12.21
SZ002864,盘龙药业,10.5,10.5,10.5,10.5,30.41,39.46,131.2,27.98
SZ000668,荣丰控股,1,1,1,1,48.97,100.56,1494.5,9.43
SH603779,ST威龙,1,1,1,1,10.15,56.68,82.46,42.16
SH600516,方大炭素,99.8,70.3,66,61.2,50.01,87.06,1217.3,4.83
SH600782,新钢股份,83.8,55.2,36.4,14.4,5.21,53.54,446.68,2.41
SH601857,中国石油,1,1,1,1,59.38,34.86,236.5,10.47
SH600025,华能水电,61.3,61.3,61.3,61.3,18.02,16.02,35.12,7.37
SZ000519,中兵红箭,60.1,42.7,43.6,30.5,44.23,248.86,3262.99,12.66
SH603131,上海沪工,52.6,55,55,55,61.92,65.6,124.16,42.81
SZ002055,得润电子,1,1,1,1,17.24,68.65,321.06,11.69
SZ000700,模塑科技,1,1,1,1,232.83,48.01,388.69,7.21
SZ300399,京天利,68.7,38.9,37,37,105.95,159.98,472.53,61.21
SZ002955,鸿合科技,31.2,31.2,31.2,31.2,36.08,35.96,41.26,26.65
SH600018,上港集团,60.6,36.1,22.5,17.2,12.28,20.19,84.58,8.27
SZ002414,高德红外,6.7,4.5,21.9,21.9,74.27,157.37,537.17,36.7
SZ002044,美年健康,1,1,1,1,28.32,95.56,787.44,18.61
SH600072,中船科技,35.3,24.4,16.2,39.9,95.76,684.75,17969.6,19.04
SH600064,南京高科,0.6,0.3,0.2,0.1,5.76,26.12,137.56,5.65
SZ300329,海伦钢琴,97.7,65.4,61.2,61.2,67.57,75.62,275.36,27.77
SZ300093,金刚玻璃,1,1,1,1,17.83,207.92,1395.2,27.25
SH600596,新安股份,100,97.3,71.2,75,40.21,43.36,1120.23,4.39
SH603555,*ST贵人,1,1,1,1,1.06,74.31,211.76,26.46
SZ002783,凯龙股份,92.8,94.8,94.8,94.8,239,82.63,578.47,17.56
SZ000402,金融街,67.4,45.3,38.8,17.5,7.75,37.16,383.93,5.2
SH600929,雪天盐业,63,63,63,63,45.56,44.39,59.96,33.45
SZ002191,劲嘉股份,20,13.3,24.1,19.9,16.87,21.73,39.75,11.72
SH600815,*ST厦工,1,1,1,1,7.32,60.24,1407.48,9.01
SH600647,同达创业,97.7,99.2,94.6,93.5,881.56,235.45,2817.41,7
SZ200012,南玻B,5.5,3.7,18.1,37.7,9.38,13.34,56.62,2.09
SZ300333,兆日科技,99.6,99.7,99.8,99.8,1974.64,271.37,2219.36,20.9
